"Subject"	"Stim"	"Exp"	"Letter"	"Direction"	"Shot"	"Time"	"Answer"	"Video"	"count_ExperimentLoop"	"item"	"repeat."	"response"	"RT"	"time_ScreenForResponse"	"correct"
"1839"	"11"	"39"	"2"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"p"	6069	52040	""
"1993"	"12"	"13"	"2"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	1483	82298	""
"2174"	"13"	"14"	"2"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	895	33109	""
"2418"	"14"	"78"	"2"	"m"	"3"	"10"	"3"	1	"S10C3T3"	0	NA	NA	"m"	2740	4939	"t3"
"2623"	"15"	"103"	"2"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	347	13435	""
"2778"	"16"	"78"	"2"	"m"	"3"	"10"	"3"	1	"S10C3T3"	0	NA	NA	"m"	2740	4939	"t3"
"3051"	"17"	"171"	"2"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"p"	2740	81786	""
"3181"	"18"	"121"	"2"	"m"	"3"	"10"	"3"	1	"S10C3T3"	0	NA	NA	"m"	763	3832	"t3"
"3256"	"19"	"16"	"2"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	20	43024	""
"3558"	"20"	"138"	"2"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	606	22706	""
"141"	"1"	"141"	"1"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"q"	443	22700	""
"304"	"2"	"124"	"1"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"m"	718	19394	""
"397"	"3"	"37"	"1"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"q"	449	20948	""
"593"	"4"	"53"	"1"	"x"	"4"	"10"	"1"	1	"S10C4T1"	0	NA	NA	"x"	1371	60402	"t1"
"850"	"5"	"130"	"1"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"q"	985	15911	""
"1055"	"6"	"155"	"1"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"q"	1221	9321	""
"1244"	"7"	"164"	"1"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"m"	7610	14736	""
"1418"	"8"	"158"	"1"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"q"	1176	32760	""
"1581"	"9"	"141"	"1"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"q"	443	22700	""
"1712"	"10"	"92"	"1"	"x"	"4"	"10"	"1"	1	"S10C4T1"	0	NA	NA	"x"	1389	63591	"t1"
"1803"	"11"	"3"	"2"	"x"	"4"	"10"	"1"	1	"S10C4T1"	0	NA	NA	"x"	4457	52040	"t1"
"2139"	"12"	"159"	"2"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"p"	1376	82298	""
"2250"	"13"	"90"	"2"	"x"	"4"	"10"	"1"	1	"S10C4T1"	0	NA	NA	"x"	3642	33109	""
"2428"	"14"	"88"	"2"	"x"	"4"	"10"	"1"	1	"S10C4T1"	0	NA	NA	"x"	4751	4939	"t1"
"2632"	"15"	"112"	"2"	"x"	"4"	"10"	"1"	1	"S10C4T1"	0	NA	NA	"x"	587	13435	"t1"
"2788"	"16"	"88"	"2"	"x"	"4"	"10"	"1"	1	"S10C4T1"	0	NA	NA	"x"	4751	4939	"t1"
"2967"	"17"	"87"	"2"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"m"	1272	81786	""
"3146"	"18"	"86"	"2"	"x"	"4"	"10"	"1"	1	"S10C4T1"	0	NA	NA	"x"	1081	3832	"t1"
"3262"	"19"	"22"	"2"	"x"	"4"	"10"	"1"	0	"S10C4T1"	0	NA	NA	"m"	524	43024	""
"3554"	"20"	"134"	"2"	"x"	"4"	"10"	"1"	1	"S10C4T1"	0	NA	NA	"x"	1456	22706	"t1"
"71"	"1"	"71"	"1"	"x"	"4"	"10"	"2"	1	"S10C4T2"	0	NA	NA	"x"	835	22700	"t2"
"317"	"2"	"137"	"1"	"x"	"4"	"10"	"2"	1	"S10C4T2"	0	NA	NA	"x"	1286	19394	"t2"
"371"	"3"	"11"	"1"	"x"	"4"	"10"	"2"	0	"S10C4T2"	0	NA	NA	"q"	352	20948	""
"705"	"4"	"165"	"1"	"x"	"4"	"10"	"2"	1	"S10C4T2"	0	NA	NA	"x"	608	60402	"t2"
"899"	"5"	"179"	"1"	"x"	"4"	"10"	"2"	0	"S10C4T2"	0	NA	NA	"q"	1089	15911	""
"1067"	"6"	"167"	"1"	"x"	"4"	"10"	"2"	1	"S10C4T2"	0	NA	NA	"x"	490	9321	"t2"
"1182"	"7"	"102"	"1"	"x"	"4"	"10"	"2"	1	"S10C4T2"	0	NA	NA	"x"	1734	14736	""
"1335"	"8"	"75"	"1"	"x"	"4"	"10"	"2"	1	"S10C4T2"	0	NA	NA	"x"	704	32760	"t2"
"1511"	"9"	"71"	"1"	"x"	"4"	"10"	"2"	1	"S10C4T2"	0	NA	NA	"x"	835	22700	"t2"
"1748"	"10"	"128"	"1"	"x"	"4"	"10"	"2"	1	"S10C4T2"	0	NA	NA	"x"	598	63591	"t2"
"1862"	"11"	"62"	"2"	"x"	"4"	"10"	"2"	0	"S10C4T2"	0	NA	NA	"m"	901	52040	""
"2140"	"12"	"160"	"2"	"x"	"4"	"10"	"2"	0	"S10C4T2"	0	NA	NA	"q"	958	82298	""
